Scopus-10-Analyze-Year

"Your query : ((TITLE-ABS-KEY ( ((deep AND learning) OR (machine AND learning) OR (soft AND computing) OR (artificial intelligence) OR (data AND mining) ) AND forensic AND anthropology AND age AND estimation AND 3d)))"


Number of results : 10

"YEAR",
"2024","3"
"2023","1"
"2022","2"
"2021","1"
"2012","1"
