name,triangles,faces,vertices,edges
50-L,1161131,1161131,3483393,3483393
50-R,1366133,1366133,4098399,4098399
500-L,1032494,1032494,3097482,3097482
500-R,1345440,1345440,4036320,4036320
501-L,1098601,1098601,3295803,3295803
501-R,1043172,1043172,3129516,3129516
502-L,1303839,1303839,3911517,3911517
502-R,1346714,1346714,4040142,4040142
503-L,1045556,1045556,3136668,3136668
503-R,1091253,1091253,3273759,3273759
504-L,1176513,1176513,3529539,3529539
317-L,1041329,1041329,3123987,3123987
328-L,849050,849050,2547150,2547150
337-L,657775,657775,1973325,1973325
348-L,818077,818077,2454231,2454231
358-L,664740,664740,1994220,1994220
370-L,780976,780976,2342928,2342928
383-R,996115,996115,2988345,2988345
394-L,828102,828102,2484306,2484306
402-L,544978,544978,1634934,1634934
411-L,537960,537960,1613880,1613880
423-L,1235653,1235653,3706959,3706959
435-L,1150321,1150321,3450963,3450963
446-L,839742,839742,2519226,2519226
457-L,991001,991001,2973003,2973003
466-L,844983,844983,2534949,2534949
475-L,771637,771637,2314911,2314911
486-L,766167,766167,2298501,2298501
496-L,732984,732984,2198952,2198952
505-L,898285,898285,2694855,2694855
517-L,961773,961773,2885319,2885319
528-L,1153540,1153540,3460620,3460620
538-L,1005149,1005149,3015447,3015447
548-L,1030724,1030724,3092172,3092172
558-L,821724,821724,2465172,2465172
58-L,1091886,1091886,3275658,3275658
67-L,1094221,1094221,3282663,3282663
79-L,1216715,1216715,3650145,3650145
88-L,936244,936244,2808732,2808732
505-R,890861,890861,2672583,2672583
506-L,913522,913522,2740566,2740566
506-R,1028359,1028359,3085077,3085077
507-L,1020532,1020532,3061596,3061596
507-R,834578,834578,2503734,2503734
508-L,1098112,1098112,3294336,3294336
508-R,1305382,1305382,3916146,3916146
509-L,1241011,1241011,3723033,3723033
51-L,760346,760346,2281038,2281038
51-R,908544,908544,2725632,2725632
510-L,1159647,1159647,3478941,3478941
510-R,1276567,1276567,3829701,3829701
511-L,1098487,1098487,3295461,3295461
511-R,973073,973073,2919219,2919219
512-L,1074484,1074484,3223452,3223452
512-R,1090901,1090901,3272703,3272703
513-L,702447,702447,2107341,2107341
513-R,921861,921861,2765583,2765583
516-L,699522,699522,2098566,2098566
516-R,737094,737094,2211282,2211282
517-R,1046051,1046051,3138153,3138153
519-L,890147,890147,2670441,2670441
519-R,1030841,1030841,3092523,3092523
52-L,694026,694026,2082078,2082078
52-R,720473,720473,2161419,2161419
520-L,752964,752964,2258892,2258892
520-R,926301,926301,2778903,2778903
521-L,1149171,1149171,3447513,3447513
521-R,1064941,1064941,3194823,3194823
522-L,1151038,1151038,3453114,3453114
522-R,1288203,1288203,3864609,3864609
524-L,829719,829719,2489157,2489157
524-R,791879,791879,2375637,2375637
525-L,1110085,1110085,3330255,3330255
525-R,967939,967939,2903817,2903817
526-L,882190,882190,2646570,2646570
526-R,873244,873244,2619732,2619732
527-L,1201727,1201727,3605181,3605181
527-R,1338841,1338841,4016523,4016523
528-R,1250817,1250817,3752451,3752451
529-L,1361924,1361924,4085772,4085772
529-R,1349946,1349946,4049838,4049838
53-L,1277475,1277475,3832425,3832425
53-R,1187680,1187680,3563040,3563040
530-L,689865,689865,2069595,2069595
530-R,833774,833774,2501322,2501322
531-L,1032445,1032445,3097335,3097335
531-R,997537,997537,2992611,2992611
532-L,1191122,1191122,3573366,3573366
532-R,1138750,1138750,3416250,3416250
533-L,855502,855502,2566506,2566506
533-R,934192,934192,2802576,2802576
534-L,1085793,1085793,3257379,3257379
534-R,888770,888770,2666310,2666310
535-L,1095060,1095060,3285180,3285180
535-R,1177171,1177171,3531513,3531513
537-L,792139,792139,2376417,2376417
537-R,790685,790685,2372055,2372055
538-R,1364090,1364090,4092270,4092270
539-L,963810,963810,2891430,2891430
539-R,1053646,1053646,3160938,3160938
54-L,780395,780395,2341185,2341185
54-R,1005079,1005079,3015237,3015237
540-L,585580,585580,1756740,1756740
540-R,490419,490419,1471257,1471257
541-L,810068,810068,2430204,2430204
541-R,820757,820757,2462271,2462271
543-L,841942,841942,2525826,2525826
543-R,912391,912391,2737173,2737173
544-L,899708,899708,2699124,2699124
544-R,928321,928321,2784963,2784963
545-R,1235238,1235238,3705714,3705714
546-L,920155,920155,2760465,2760465
546-R,840243,840243,2520729,2520729
547-L,1261412,1261412,3784236,3784236
547-R,1422315,1422315,4266945,4266945
548-R,772795,772795,2318385,2318385
549-L,1005831,1005831,3017493,3017493
549-R,922393,922393,2767179,2767179
55-L,841814,841814,2525442,2525442
55-R,878245,878245,2634735,2634735
550-L,790646,790646,2371938,2371938
550-R,836109,836109,2508327,2508327
551-L,712320,712320,2136960,2136960
551-R,730385,730385,2191155,2191155
552-L,1065867,1065867,3197601,3197601
552-R,1247277,1247277,3741831,3741831
553-L,926560,926560,2779680,2779680
553-R,1128751,1128751,3386253,3386253
554-L,1133592,1133592,3400776,3400776
554-R,1335094,1335094,4005282,4005282
556-L,794975,794975,2384925,2384925
556-R,1155660,1155660,3466980,3466980
557-L,744394,744394,2233182,2233182
557-R,708418,708418,2125254,2125254
558-R,923520,923520,2770560,2770560
559-L,926961,926961,2780883,2780883
559-R,1180211,1180211,3540633,3540633
56-L,756190,756190,2268570,2268570
56-R,763894,763894,2291682,2291682
560-L,1057272,1057272,3171816,3171816
560-R,965709,965709,2897127,2897127
561-L,802612,802612,2407836,2407836
561-R,1100399,1100399,3301197,3301197
563-L,990932,990932,2972796,2972796
563-R,918708,918708,2756124,2756124
564-L,1099625,1099625,3298875,3298875
564-R,1062158,1062158,3186474,3186474
565-L,1018960,1018960,3056880,3056880
565-R,1052116,1052116,3156348,3156348
566-L,1060741,1060741,3182223,3182223
566-R,1174659,1174659,3523977,3523977
567-L,755550,755550,2266650,2266650
57-L,1154342,1154342,3463026,3463026
57-R,1338169,1338169,4014507,4014507
58-R,985076,985076,2955228,2955228
59-L,953132,953132,2859396,2859396
59-R,758473,758473,2275419,2275419
6-L,720948,720948,368822,2162844
6-R,783431,783431,400387,2350293
60-L,962269,962269,2886807,2886807
60-R,918782,918782,2756346,2756346
61-L,920498,920498,2761494,2761494
61-R,790489,790489,2371467,2371467
62-L,1163031,1163031,3489093,3489093
62-R,1123037,1123037,3369111,3369111
63-L,684211,684211,2052633,2052633
63-R,632736,632736,1898208,1898208
64-L,1145957,1145957,3437871,3437871
64-R,922229,922229,2766687,2766687
65-L,748395,748395,2245185,2245185
65-R,867973,867973,2603919,2603919
66-L,1031311,1031311,3093933,3093933
66-R,1089773,1089773,3269319,3269319
67-R,1170401,1170401,3511203,3511203
69-L,719158,719158,2157474,2157474
69-R,888608,888608,2665824,2665824
7-L,1019868,1019868,515403,3059604
7-R,1089584,1089584,559470,3268752
70-L,815617,815617,2446851,2446851
70-R,974052,974052,2922156,2922156
71-L,922802,922802,2768406,2768406
71-R,1078200,1078200,3234600,3234600
72-L,714939,714939,2144817,2144817
72-R,927622,927622,2782866,2782866
73-L,1491741,1491741,4475223,4475223
73-R,1406390,1406390,4219170,4219170
75-L,941228,941228,2823684,2823684
75-R,916015,916015,2748045,2748045
77-L,1049286,1049286,3147858,3147858
77-R,1219650,1219650,3658950,3658950
78-L,1008237,1008237,3024711,3024711
78-R,982192,982192,2946576,2946576
79-R,1250556,1250556,3751668,3751668
8-L,1070748,1070748,546687,3212244
8-R,1350369,1350369,690287,4051107
80-L,1184294,1184294,3552882,3552882
80-R,1230506,1230506,3691518,3691518
81-L,802889,802889,2408667,2408667
81-R,913218,913218,2739654,2739654
82-L,652765,652765,1958295,1958295
82-R,545850,545850,1637550,1637550
83-L,1116462,1116462,3349386,3349386
83-R,1089852,1089852,3269556,3269556
84-L,1178506,1178506,3535518,3535518
84-R,1275506,1275506,3826518,3826518
85-L,1116993,1116993,3350979,3350979
85-R,1278254,1278254,3834762,3834762
86-L,1174132,1174132,3522396,3522396
86-R,1385460,1385460,4156380,4156380
87-L,1052422,1052422,3157266,3157266
87-R,805452,805452,2416356,2416356
88-R,941386,941386,2824158,2824158
89-L,1271521,1271521,3814563,3814563
89-R,1178301,1178301,3534903,3534903
90-L,1301236,1301236,3903708,3903708
90-R,1297277,1297277,3891831,3891831
91-L,984960,984960,2954880,2954880
91-R,831174,831174,2493522,2493522
92-L,1125615,1125615,3376845,3376845
92-R,966996,966996,2900988,2900988
93-L,1226382,1226382,3679146,3679146
93-R,1030450,1030450,3091350,3091350
94-L,1170172,1170172,3510516,3510516
94-R,1256215,1256215,3768645,3768645
95-L,1085364,1085364,3256092,3256092
95-R,1100623,1100623,3301869,3301869
96-L,1171904,1171904,3515712,3515712
96-R,1276874,1276874,3830622,3830622
97-L,1048178,1048178,3144534,3144534
97-R,1109472,1109472,3328416,3328416
98-L,1069176,1069176,3207528,3207528
98-R,1050062,1050062,3150186,3150186
99-L,1083964,1083964,3251892,3251892
99-R,1233656,1233656,3700968,3700968
