name,triangles,faces,vertices,edges
184-L,1122097,1122097,3366291,3366291
184-R,1224195,1224195,3672585,3672585
185-L,1216958,1216958,3650874,3650874
185-R,1463340,1463340,4390020,4390020
186-L,995716,995716,2987148,2987148
186-R,1163084,1163084,3489252,3489252
188-L,706705,706705,2120115,2120115
188-R,1332636,1332636,3997908,3997908
19-L,946972,946972,2840916,2840916
19-R,1057987,1057987,3173961,3173961
190-R,977953,977953,2933859,2933859
192-L,1037498,1037498,3112494,3112494
192-R,1079188,1079188,3237564,3237564
193-L,1025649,1025649,3076947,3076947
193-R,1021287,1021287,3063861,3063861
194-L,1024008,1024008,3072024,3072024
194-R,1044103,1044103,3132309,3132309
195-L,1164869,1164869,3494607,3494607
195-R,1152352,1152352,3457056,3457056
196-L,1128016,1128016,3384048,3384048
196-R,990334,990334,2971002,2971002
197-L,1067836,1067836,3203508,3203508
197-R,958483,958483,2875449,2875449
198-L,1059829,1059829,3179487,3179487
198-R,1092327,1092327,3276981,3276981
199-L,1168867,1168867,3506601,3506601
199-R,1147449,1147449,3442347,3442347
2-L,848895,848895,2546685,2546685
2-R,907269,907269,2721807,2721807
200-R,902529,902529,2707587,2707587
201-L,983385,983385,2950155,2950155
201-R,1059447,1059447,3178341,3178341
202-L,1089159,1089159,3267477,3267477
202-R,1018482,1018482,3055446,3055446
203-L,707756,707756,2123268,2123268
203-R,860737,860737,2582211,2582211
204-L,915554,915554,2746662,2746662
204-R,823016,823016,2469048,2469048
205-L,1127780,1127780,3383340,3383340
205-R,1307181,1307181,3921543,3921543
206-L,913248,913248,2739744,2739744
206-R,888233,888233,2664699,2664699
207-L,1372610,1372610,4117830,4117830
207-R,1415663,1415663,4246989,4246989
208-L,965784,965784,2897352,2897352
209-L,752438,752438,2257314,2257314
209-R,1233904,1233904,3701712,3701712
21-L,1477522,1477522,4432566,4432566
21-R,575206,575206,1725618,1725618
210-R,743366,743366,2230098,2230098
211-L,1246463,1246463,3739389,3739389
211-R,1272622,1272622,3817866,3817866
212-L,683921,683921,2051763,2051763
212-R,811811,811811,2435433,2435433
213-L,951064,951064,2853192,2853192
213-R,1026328,1026328,3078984,3078984
214-L,912958,912958,2738874,2738874
214-R,910806,910806,2732418,2732418
215-L,1108251,1108251,3324753,3324753
215-R,990477,990477,2971431,2971431
216-L,818596,818596,2455788,2455788
216-R,921929,921929,2765787,2765787
218-L,1024673,1024673,3074019,3074019
218-R,1173490,1173490,3520470,3520470
219-R,565879,565879,1697637,1697637
220-L,912726,912726,2738178,2738178
220-R,1023188,1023188,3069564,3069564
221-L,872915,872915,2618745,2618745
221-R,906512,906512,2719536,2719536
222-R,1193608,1193608,3580824,3580824
223-L,762272,762272,2286816,2286816
223-R,764863,764863,2294589,2294589
224-L,901538,901538,2704614,2704614
224-R,354270,354270,1062810,1062810
225-R,1102021,1102021,3306063,3306063
227-R,594252,594252,1782756,1782756
229-L,999806,999806,2999418,2999418
229-R,934876,934876,2804628,2804628
23-L,957466,957466,490504,2872398
23-R,1024147,1024147,3072441,3072441
230-L,778348,778348,2335044,2335044
230-R,840304,840304,2520912,2520912
231-L,886969,886969,2660907,2660907
231-R,1024845,1024845,3074535,3074535
232-L,862741,862741,2588223,2588223
232-R,940473,940473,2821419,2821419
233-L,750608,750608,2251824,2251824
233-R,743942,743942,2231826,2231826
234-L,904812,904812,2714436,2714436
234-R,966132,966132,2898396,2898396
235-R,907346,907346,2722038,2722038
236-L,783015,783015,2349045,2349045
236-R,955805,955805,2867415,2867415
237-L,1268545,1268545,3805635,3805635
237-R,821198,821198,2463594,2463594
238-L,741407,741407,2224221,2224221
238-R,857502,857502,2572506,2572506
239-L,788777,788777,2366331,2366331
239-R,779951,779951,2339853,2339853
24-L,1099613,1099613,3298839,3298839
24-R,1031110,1031110,3093330,3093330
240-L,777636,777636,2332908,2332908
240-R,924692,924692,2774076,2774076
241-L,911771,911771,2735313,2735313
241-R,902782,902782,2708346,2708346
242-L,1140546,1140546,3421638,3421638
242-R,1178824,1178824,3536472,3536472
244-L,1183060,1183060,3549180,3549180
244-R,1179061,1179061,3537183,3537183
287-L,1388701,1388701,4166103,4166103
287-R,1382623,1382623,4147869,4147869
288-L,1091379,1091379,3274137,3274137
288-R,1064779,1064779,3194337,3194337
289-L,945215,945215,2835645,2835645
289-R,756366,756366,2269098,2269098
291-L,1079306,1079306,3237918,3237918
291-R,1315044,1315044,3945132,3945132
292-L,1024937,1024937,3074811,3074811
292-R,999166,999166,2997498,2997498
293-L,1011220,1011220,3033660,3033660
293-R,1054292,1054292,3162876,3162876
294-L,771497,771497,2314491,2314491
294-R,831093,831093,2493279,2493279
295-L,1536385,1536385,4609155,4609155
295-R,1614903,1614903,4844709,4844709
296-R,725443,725443,2176329,2176329
297-L,953872,953872,2861616,2861616
297-R,1161497,1161497,3484491,3484491
246-R,1067822,1067822,3203466,3203466
247-L,1260017,1260017,3780051,3780051
247-R,1086569,1086569,3259707,3259707
248-L,944352,944352,2833056,2833056
248-R,1066829,1066829,3200487,3200487
249-L,1076094,1076094,3228282,3228282
249-R,1139860,1139860,3419580,3419580
25-L,1200796,1200796,3602388,3602388
25-R,981788,981788,2945364,2945364
250-L,950700,950700,2852100,2852100
250-R,1166040,1166040,3498120,3498120
251-L,930015,930015,2790045,2790045
251-R,1347978,1347978,4043934,4043934
252-L,925364,925364,2776092,2776092
252-R,954900,954900,2864700,2864700
253-L,1049210,1049210,3147630,3147630
253-R,1005119,1005119,3015357,3015357
255-L,1083048,1083048,3249144,3249144
255-R,829580,829580,2488740,2488740
256-R,887617,887617,2662851,2662851
257-L,937971,937971,2813913,2813913
257-R,1044161,1044161,3132483,3132483
258-L,1429029,1429029,4287087,4287087
258-R,1614055,1614055,4842165,4842165
259-L,996412,996412,2989236,2989236
259-R,928151,928151,2784453,2784453
26-L,740793,740793,2222379,2222379
26-R,773220,773220,2319660,2319660
260-L,1501768,1501768,4505304,4505304
260-R,1126999,1126999,3380997,3380997
261-L,1130386,1130386,3391158,3391158
261-R,656719,656719,1970157,1970157
263-L,1333480,1333480,4000440,4000440
263-R,1093855,1093855,3281565,3281565
267-L,983478,983478,2950434,2950434
267-R,1059979,1059979,3179937,3179937
268-L,1578754,1578754,4736262,4736262
268-R,1532782,1532782,4598346,4598346
269-R,948457,948457,2845371,2845371
27-L,1384909,1384909,4154727,4154727
27-R,913112,913112,2739336,2739336
271-L,768821,768821,2306463,2306463
271-R,969043,969043,2907129,2907129
274-L,1274892,1274892,3824676,3824676
274-R,1222242,1222242,3666726,3666726
275-L,826811,826811,2480433,2480433
275-R,955185,955185,2865555,2865555
276-L,966217,966217,2898651,2898651
276-R,859576,859576,2578728,2578728
277-L,807436,807436,2422308,2422308
277-R,1032986,1032986,3098958,3098958
278-L,798268,798268,2394804,2394804
278-R,797038,797038,2391114,2391114
279-L,1256744,1256744,3770232,3770232
279-R,1057150,1057150,3171450,3171450
28-L,1009769,1009769,3029307,3029307
28-R,1311015,1311015,3933045,3933045
281-L,674216,674216,2022648,2022648
282-L,1444965,1444965,4334895,4334895
282-R,1371584,1371584,4114752,4114752
283-L,1171921,1171921,3515763,3515763
283-R,1167254,1167254,3501762,3501762
284-L,989598,989598,2968794,2968794
284-R,999260,999260,2997780,2997780
285-L,1266517,1266517,3799551,3799551
285-R,1248820,1248820,3746460,3746460
370-R,835187,835187,2505561,2505561
371-L,1484154,1484154,4452462,4452462
371-R,1340347,1340347,4021041,4021041
372-L,870806,870806,2612418,2612418
372-R,1001973,1001973,3005919,3005919
373-L,1227117,1227117,3681351,3681351
373-R,1176369,1176369,3529107,3529107
374-L,1096325,1096325,3288975,3288975
374-R,1094496,1094496,3283488,3283488
376-L,1109022,1109022,3327066,3327066
376-R,1098313,1098313,3294939,3294939
377-L,866522,866522,2599566,2599566
377-R,861434,861434,2584302,2584302
379-R,678361,678361,2035083,2035083
38-L,1142187,1142187,3426561,3426561
38-R,523469,523469,1570407,1570407
381-L,1121170,1121170,3363510,3363510
381-R,1113417,1113417,3340251,3340251
382-L,1067369,1067369,3202107,3202107
382-R,1275366,1275366,3826098,3826098
298-R,809778,809778,2429334,2429334
299-L,984095,984095,2952285,2952285
299-R,852048,852048,2556144,2556144
3-L,421035,421035,1263105,1263105
3-R,1229010,1229010,3687030,3687030
30-L,1052538,1052538,3157614,3157614
30-R,1274198,1274198,3822594,3822594
300-L,1281097,1281097,3843291,3843291
300-R,1461383,1461383,4384149,4384149
301-L,1199093,1199093,3597279,3597279
301-R,1308413,1308413,3925239,3925239
302-L,908677,908677,2726031,2726031
302-R,974998,974998,2924994,2924994
303-R,827915,827915,2483745,2483745
304-L,898270,898270,2694810,2694810
304-R,1072729,1072729,3218187,3218187
306-L,969133,969133,2907399,2907399
306-R,971315,971315,2913945,2913945
307-R,714936,714936,2144808,2144808
308-L,1189691,1189691,3569073,3569073
308-R,1115097,1115097,3345291,3345291
309-L,1002108,1002108,3006324,3006324
309-R,1231090,1231090,3693270,3693270
31-L,1047553,1047553,3142659,3142659
31-R,1038368,1038368,3115104,3115104
310-L,1181615,1181615,3544845,3544845
310-R,1176498,1176498,3529494,3529494
311-L,990878,990878,2972634,2972634
311-R,946903,946903,2840709,2840709
312-L,379619,379619,1138857,1138857
312-R,490268,490268,1470804,1470804
313-L,814672,814672,2444016,2444016
313-R,807298,807298,2421894,2421894
314-L,1066766,1066766,3200298,3200298
314-R,923728,923728,2771184,2771184
316-L,927464,927464,2782392,2782392
316-R,965555,965555,2896665,2896665
317-R,1261698,1261698,3785094,3785094
318-L,1419270,1419270,4257810,4257810
318-R,1404027,1404027,4212081,4212081
319-L,862336,862336,2587008,2587008
319-R,1029097,1029097,3087291,3087291
32-L,1005018,1005018,3015054,3015054
32-R,1233033,1233033,3699099,3699099
320-L,945700,945700,2837100,2837100
320-R,1042067,1042067,3126201,3126201
321-L,667004,667004,2001012,2001012
321-R,685084,685084,2055252,2055252
323-L,901852,901852,2705556,2705556
